label,case,solver_case,mode,envs,agents,records,t_unit,t_end,window,DR_eval_pct,DR_full_pct,R_tot,R_tau,R_pw,R_v3,act_max,act_sat_pct
phill DDPG,solo_timing_cmp,phill,net_gain,1,400,30,t+,17.037499999984508,whole record (transient included),-4.203757218165296,-4.203757218165296,-0.04203757218165295,-0.04203757218165295,-0.10762657551412588,-0.005584047664297443,0.06400000228056925,19.325
wing NES,small_wing_nes,small_wing,net_gain,1,816,40,t+,1.993381650042567,whole record (transient included),90.20437410629825,90.20437410629825,-7.815052444857516,0.9020437410629825,-8.716248926335286,-0.0008472595852122127,0.9955936813056119,0.13480392156862744
